H01-1001.1,Oral communication
H01-1058.12,word strings 
H01-1058.13,word string
H01-1058.14,LM 
H01-1058.15,oracle
H01-1058.16,dynamic combiner 
H01-1058.17,hard decisions
H01-1058.18,reference 
H01-1058.19,dynamic language model combination 
H01-1058.20,performance
H01-1058.21,oracle
H01-1058.22,neural network 
H01-1058.23,decision tree
H01-1058.24,LMs 
H01-1058.25,confidence measures
H01-1058.26,hypothesis 
H01-1058.27,LM
H01-1058.28, confidence 
H01-1070.1,n-gram models
H01-1070.2,error-correction rules 
H01-1070.3,Thai key prediction
H01-1070.4,Thai-English language identification 
H01-1070.5,rule-reduction algorithm
H01-1070.6,mutual information 
H01-1070.7,error-correction rules
H01-1070.8,accuracy
H01-1070.9,language identification 
H01-1070.10,key prediction
N01-1003.1,Sentence planning
N01-1003.2,sentence scoping
N01-1003.3, syntactic structure 
N01-1003.4,speech acts
N01-1003.5,sentences
N01-1003.6,SPoT 
N01-1003.7,sentence planner
N01-1003.8,SPoT
N01-1003.9,feedback
N01-1003.10,human judges
N01-1003.11,randomized sentence-plan-generator (SPG)
N01-1003.12,sentence plans
N01-1003.13,text-plan input 
N01-1003.14,sentence-plan-ranker (SPR)
N01-1003.15,sentence plans 
N01-1003.16,plan
N01-1003.17,SPR 
N01-1003.18,ranking rules
N01-1003.19,training data 
N01-1003.20,SPR
N01-1003.21,sentence plan 
N01-1003.22,top human-ranked sentence plan 
P01-1004.1,segment order
P01-1004.2,segmentation 
P01-1004.3,segment contiguity
P01-1004.4,retrieval performance 
P01-1004.5,translation memory system
P01-1004.6,bag-of-words and segment order-sensitive string comparison methods 
P01-1004.7,character- and word-segmented data
P01-1004.8,local segment contiguity models
P01-1004.9,N-grams 
P01-1004.10,datasets
P01-1004.11,indexing 
P01-1004.12,character bigrams
P01-1004.13,retrieval accuracy 
P01-1004.14,word N-gram models
P01-1004.15,configuration
P01-1004.16,bag-of-words methods 
P01-1004.17,segment order-sensitive methods
P01-1004.18,retrieval accuracy
P01-1007.1,range concatenation grammar [RCG] formalism 
P01-1007.2,NLP
P01-1007.3,range concatenation languages [RCL]
P01-1007.4,polynomial time 
P01-1007.5,grammatical formalisms
P01-1007.6,RCGs
P01-1007.7,worst-case parsing time complexity 
P01-1007.8,translation
P01-1007.9,RCG 
P01-1007.10,tree adjoining grammar
P01-1007.11,O(n6) time 
P01-1007.12,parsing technique
P01-1007.13,RCL parsers
P01-1007.14,non-deterministic parsing choices 
P01-1007.15,main parser
P01-1007.16,language L 
P01-1007.17,guide
P01-1007.18, shared derivation forest 
P01-1007.19,RCL parser
P01-1007.20,superset of L 
P01-1007.21,wide coverage English grammar 
P01-1008.1,paraphrasing
P01-1008.2, interpretation and generation of natural language 
P01-1008.3, paraphrases 
P01-1008.4,unsupervised learning algorithm
P01-1008.5,identification of paraphrases 
P01-1008.6,corpus of multiple English translations
P01-1008.7,source text 
P01-1008.8,phrasal and single word lexical paraphrases
P01-1008.9,syntactic paraphrases
P01-1009.1,formal analysis
P01-1009.2,words 
P01-1009.3,alternative markers
P01-1009.4, other (than) 
P01-1009.5,such (as)
P01-1009.6,besides
P01-1009.7,words 
P01-1009.8,dialog
P01-1009.9,attention 
P01-1009.10,natural language search engines
P01-1009.11,queries 
P01-1009.12,performance
P01-1009.13,search engine 
P01-1009.14,formal analysis 
P01-1009.15,search engine
P01-1009.16,operational semantics 
P01-1009.17,operational semantics
P01-1009.18,natural language applications 
P01-1047.1,logical definition
P01-1047.2,Minimalist grammars 
P01-1047.3,Stabler's formalization
P01-1047.4, Chomsky's minimalist program 
P01-1047.5,logical definition
P01-1047.6,categorial grammar 
P01-1047.7,Montague semantics
P01-1047.8,parsing-as-deduction 
P01-1047.9,resource sensitive logic
P01-1047.10, learning algorithm 
P01-1047.11,structured data
P01-1047.12, typing-algorithm 
P01-1047.13,type-unification
P01-1047.14,Montague semantics 
P01-1047.15,formal computation
P01-1047.16,logical form 
P01-1056.1,Techniques for automatically training
P01-1056.2, natural language generator 
P01-1056.3, quality 
P01-1056.4,utterances
P01-1056.5,trainable components 
P01-1056.6,hand-crafted template-based or rule-based approaches
P01-1056.7,trainable sentence planner
P01-1056.8,spoken dialogue system 
P01-1056.9,subjective human judgments
P01-1056.10,hand-crafted template-based generation component 
P01-1056.11,rule-based sentence planners
P01-1056.12,baseline sentence planners 
P01-1056.13,trainable sentence planner
P01-1056.14,rule-based systems
P01-1056.15,baselines
P01-1056.16,hand-crafted system
P01-1070.1,supervised machine learning
P01-1070.2,statistical models
P01-1070.3,WH-questions 
P01-1070.4,models
P01-1070.5, shallow linguistic features 
P01-1070.6,questions
P01-1070.7,user's informational goals
P01-1070.8,predictive performance
P01-1070.9,models
P01-1070.10,training and testing factors
P01-1070.11,predictive performance 
N03-1001.1,utterance classification
N03-1001.2,manual transcription
N03-1001.3,training data 
N03-1001.4,domain independent acoustic models
N03-1001.5,classifiers
N03-1001.6,utterance classification performance 
N03-1001.7, word-trigram recognition 
N03-1001.8,manual transcription
N03-1001.9,unsupervised training 
N03-1001.10,phone n-gram model
N03-1001.11,domain 
N03-1001.12,output
N03-1001.13,recognition
N03-1001.14,model
N03-1001.15,phone-string classifier 
N03-1001.16,classification accuracy
N03-1001.17,spoken language system domains
N03-1004.1,ensemble methods
N03-1004.2,machine learning 
N03-1004.3,natural language processing
N03-1004.4,multi-strategy and multi-source approach to question answering 
N03-1004.5,answering agents 
N03-1004.6,answers
N03-1004.7,corpora 
N03-1004.8,answering agents
N03-1004.9,knowledge-based mechanisms
N03-1004.10,statistical techniques 
N03-1004.11,multi-level answer resolution algorithm
N03-1004.12,answering agents
N03-1004.13,question, passage, and/or answer levels 
N03-1004.14,answer resolution algorithm 
N03-1004.15,baseline system
N03-1004.16,questions correctly answered
N03-1004.17,average precision metric
N03-1012.1,ONTOSCORE
N03-1012.2,concepts 
N03-1012.3,ontology
N03-1012.4,scoring 
N03-1012.5,speech recognition hypotheses (SRH)
N03-1012.6,semantic coherence 
N03-1012.7,annotation experiment
N03-1012.8,human annotators 
N03-1012.9,speech recognition hypotheses 
N03-1012.10,annotated data
N03-1012.11,German corpus
N03-1012.12,SRHs 
N03-1012.13,baseline
N03-1017.1,phrase-based translation model
N03-1017.2,decoding algorithm 
N03-1017.3, phrase-based translation models 
N03-1017.4,phrase-based models
N03-1017.5,word-based models 
N03-1017.6,language pairs 
N03-1017.7,heuristic learning 
N03-1017.8,phrase translations
N03-1017.9,word-based alignments 
N03-1017.10,lexical weighting
N03-1017.11,phrase translations 
N03-1017.12,phrases
N03-1017.13,words 
N03-1017.14,phrases
N03-1017.15,high-accuracy word-level alignment models 
N03-1017.16,syntactically motivated phrases 
N03-1018.1,generative probabilistic optical character recognition (OCR) model 
N03-1018.2,noisy channel framework
N03-1018.3,true text
N03-1018.4,noisy output
N03-1018.5,OCR system
N03-1018.6,model 
N03-1018.7,error correction
N03-1018.8,post-processing 
N03-1018.9,output
N03-1018.10,OCR systems 
N03-1018.11,NLP tasks
N03-1018.12,model
N03-1018.13,finite-state models 
N03-1018.14,model
N03-1018.15,character and word error rate 
N03-1018.16,automatic extraction
N03-1018.17,translation lexicons 
N03-1018.18,printed text
N03-1026.1,ambiguity packing and stochastic disambiguation techniques 
N03-1026.2,Lexical-Functional Grammars (LFG)
N03-1026.3,sentence condensation 
N03-1026.4,linguistic parser/generator
N03-1026.5,LFG 
N03-1026.6,transfer component
N03-1026.7,parse reduction 
N03-1026.8,packed parse forests
N03-1026.9, maximum-entropy model 
N03-1026.10,stochastic output selection
N03-1026.11,parser evaluation methods
N03-1026.12,summarization 
N03-1026.13,sentence condensation systems
N03-1026.14,experimental evaluation 
N03-1026.15,summarization
N03-1026.16,automatic parse-based evaluation 
N03-1026.17,manual evaluation
N03-1026.18, strings 
N03-1026.19,summarization
N03-1026.20,grammaticality
N03-1026.21,system output 
N03-1026.22,constraint-based parser/generator
N03-1033.1,part-of-speech tagger
N03-1033.2,tag contexts 
N03-1033.3,dependency network representation
N03-1033.4,lexical features 
N03-1033.5,jointly conditioning on multiple consecutive words
N03-1033.6,priors
N03-1033.7,conditional loglinear models 
N03-1033.8,unknown word features
N03-1033.9,tagger
N03-1033.10,accuracy 
N03-1033.11,Penn Treebank WSJ
N03-1033.12,error reduction 
N03-1033.13,tagging 
N03-2003.1,training data
N03-2003.2, language modeling 
N03-2003.3,conversational speech
N03-2003.4,training data 
N03-2003.5,text
N03-2003.6,web 
N03-2003.7,style
N03-2003.8,topic 
N03-2003.9,recognition task
N03-2003.10,data
N03-2003.11, class-dependent interpolation 
N03-2003.12,N-grams
N03-2006.1,translation quality
N03-2006.2, EBMT 
N03-2006.3,bilingual corpus
N03-2006.4,bilingual corpus 
N03-2006.5,language model
N03-2006.6,monolingual corpus 
N03-2006.7,EBMT system
N03-2006.8,evaluation measures 
N03-2006.9,BLEU score
N03-2006.10,NIST score 
N03-2006.11,bilingual corpus
N03-2006.12,language model
N03-2015.1,unsupervised technique
N03-2015.2,morphology 
N03-2015.3,hubs
N03-2015.4,automaton
N03-2015.5,hub
N03-2015.6,node
N03-2015.7,graph 
N03-2015.8,in-degree
N03-2015.9, out-degree 
N03-2015.10,word-trie
N03-2015.11,minimal DFA 
N03-2015.12,hubs
N03-2015.13,hubs 
N03-2015.14,root
N03-2015.15, suffix 
N03-2015.16,performance
N03-2017.1,syntax-based constraint
N03-2017.2,word alignment 
N03-2017.3,cohesion constraint
N03-2017.4,English phrases 
N03-2017.5,French sentence
N03-2017.6,constraint
N03-2017.7,alignment quality 
N03-2025.1,bootstrapping approach
N03-2025.2,Named Entity (NE) tagging 
N03-2025.3,concept-based seeds
N03-2025.4,successive learners 
N03-2025.5,common noun
N03-2025.6,pronoun 
N03-2025.7,seeds
N03-2025.8,concept
N03-2025.9,NE
N03-2025.10,PERSON NE 
N03-2025.11,bootstrapping procedure
N03-2025.12,successive learners 
N03-2025.13,decision list
N03-2025.14,parsing-based NE rules 
N03-2025.15,Hidden Markov Model
N03-2025.16,corpus 
N03-2025.17,learner
N03-2025.18,NE system 
N03-2025.19,supervised NE
N03-2025.20,NE types 
N03-2036.1,phrase-based unigram model
N03-2036.2,statistical machine translation 
N03-2036.3,model parameters
N03-2036.4,phrase-based models 
N03-2036.5,units of translation
N03-2036.6,blocks 
N03-2036.7,phrases
N03-2036.8,decoding
N03-2036.9,block unigram model
N03-2036.10,word-based trigram language model 
N03-2036.11,training
N03-2036.12,blocks
N03-2036.13,source interval projections
N03-2036.14,word alignment 
N03-2036.15,block selection criteria
N03-2036.16,unigram
N03-2036.17,phrase
N03-3010.1,Cooperative Model
N03-3010.2,natural language understanding 
N03-3010.3,dialogue system
N03-3010.4,Finite State Model (FSM) 
N03-3010.5,Statistical Learning Model (SLM)
N03-3010.6,FSM 
N03-3010.7,language understanding
N03-3010.8,Statistical approach
N03-3010.9,Cooperative Model
N03-4010.1,JAVELIN system
N03-4010.2, planning-based architecture 
N03-4010.3,language processing modules
N03-4010.4,open-domain question answering capability 
N03-4010.5,free text
N03-4010.6,JAVELIN 
N03-4010.7,questions
N03-4010.8,answer candidates 
N03-4010.9,text corpus
N03-4010.10,repository
N03-4010.11,data objects 
N03-4010.12,question answering session
P03-1002.1,IE paradigm
P03-1002.2,predicate-argument structures
P03-1002.3,predicate argument structures
P03-1002.4,IE paradigm
P03-1002.5,features 
P03-1002.6,inductive decision tree learning
P03-1002.7,predicate-argument structures
P03-1002.8,IE
P03-1005.1,Hierarchical Directed Acyclic Graph (HDAG) Kernel 
P03-1005.2,structured natural language data
P03-1005.3, HDAG Kernel 
P03-1005.4,chunks
P03-1005.5,relations 
P03-1005.6,weighed sum
P03-1005.7,attribute sequences
P03-1005.8,HDAGs
P03-1005.9,question classification
P03-1005.10,sentence alignment tasks 
P03-1005.11,similarity measure
P03-1005.12,kernel function 
P03-1005.13,HDAG Kernel 
P03-1005.14,kernel functions
P03-1005.15,baseline methods 
P03-1009.1,clustering
P03-1009.2,semantic verb classes
P03-1009.3,corpus data 
P03-1009.4,subcategorization frame (SCF) 
P03-1009.5,Information Bottleneck
P03-1009.6,nearest neighbour 
P03-1009.7,polysemic verbs 
P03-1009.8,evaluation scheme
P03-1009.9,polysemy
P03-1009.10,clusters
P03-1009.11,semantically classifying 
P03-1009.12,undisambiguated SCF data
P03-1022.1,decision tree based approach
P03-1022.2, pronoun resolution 
P03-1022.3,spoken dialogue
P03-1022.4, pronouns 
P03-1022.5,NP- and non-NP-antecedents
P03-1022.6,features 
P03-1022.7,pronoun resolution
P03-1022.8,spoken dialogue 
P03-1022.9,features
P03-1022.10,Switchboard dialogues
P03-1022.11,Byron's (2002) manually tuned system 
P03-1030.1,Link detection
P03-1030.2,Topic Detection and Tracking tasks 
P03-1030.3,new event detection
P03-1030.4,story link detection 
P03-1030.5,new event detection
P03-1030.6,information retrieval task 
P03-1030.7,precision
P03-1030.8,recall 
P03-1030.9,part of speech tagging
P03-1030.10, similarity measures 
P03-1030.11,stop lists
P03-1031.1,discourse understanding process
P03-1031.2,spoken dialogue systems 
P03-1031.3,user utterances
P03-1031.4,context
P03-1031.5,dialogue
P03-1031.6,candidates
P03-1031.7,understanding
P03-1031.8,user utterance
P03-1031.9, ambiguity 
P03-1031.10,speech understanding
P03-1031.11,understanding
P03-1031.12,user utterance 
P03-1031.13,candidates
P03-1031.14, understanding 
P03-1031.15,ambiguity
P03-1031.16,dialogue 
P03-1031.17,discourse understanding accuracy
P03-1031.18,ambiguity
P03-1031.19,statistical information
P03-1031.20,dialogue corpora 
P03-1031.21,hand-crafted rules
P03-1031.22,discourse understanding process
P03-1031.23,candidates
P03-1031.24,understanding 
P03-1033.1,user modeling
P03-1033.2,cooperative responses 
P03-1033.3,user
P03-1033.4,spoken dialogue systems 
P03-1033.5,user
P03-1033.6,knowledge 
P03-1033.7,users
P03-1033.8,user model 
P03-1033.9, user models 
P03-1033.10,skill level
P03-1033.11,knowledge level 
P03-1033.12,target domain
P03-1033.13, hastiness 
P03-1033.14,models
P03-1033.15,decision tree learning 
P03-1033.16,dialogue data
P03-1033.17,classification accuracy
P03-1033.18,Dialogue strategies 
P03-1033.19,user modeling
P03-1033.20,Kyoto city bus information system 
P03-1033.21,cooperative responses 
P03-1033.22,individual users
P03-1033.23,novice users 
P03-1033.24,dialogue duration
P03-1033.25,skilled users 
P03-1050.1,unsupervised learning approach
P03-1050.2,non-English (Arabic) stemmer 
P03-1050.3,stemming model
P03-1050.4,statistical machine translation 
P03-1050.5,English stemmer
P03-1050.6,parallel corpus 
P03-1050.7,training resources
P03-1050.8,parallel text 
P03-1050.9,training phase
P03-1050.10, Monolingual, unannotated text 
P03-1050.11,stemmer
P03-1050.12,domain
P03-1050.13,genre
P03-1050.14,Arabic
P03-1050.15,language
P03-1050.16,affix removal
P03-1050.17,resource-frugal approach
P03-1050.18, agreement 
P03-1050.19,Arabic stemmer
P03-1050.20,rules 
P03-1050.21,affix lists
P03-1050.22,human annotated text 
P03-1050.23,unsupervised component
P03-1050.24,Task-based evaluation 
P03-1050.25,Arabic information retrieval
P03-1050.26,average precision
P03-1050.27,unstemmed text 
P03-1050.28,stemmer
P03-1051.1,Arabic's rich morphology
P03-1051.2, model 
P03-1051.3,word
P03-1051.4, morphemes 
P03-1051.5,pattern
P03-1051.6,prefix*-stem-suffix*
P03-1051.7,morpheme 
P03-1051.8,manually segmented Arabic corpus 
P03-1051.9,unsupervised algorithm
P03-1051.10,Arabic word segmenter 
P03-1051.11,unsegmented Arabic corpus
P03-1051.12,trigram language model 
P03-1051.13,morpheme sequence
P03-1051.14,input 
P03-1051.15,language model
P03-1051.16,manually segmented corpus 
P03-1051.17,words
P03-1051.18,segmentation 
P03-1051.19,accuracy
P03-1051.20,unsupervised algorithm 
P03-1051.21,stems
P03-1051.22,word 
P03-1051.23,unsegmented corpus
P03-1051.24,model parameters 
P03-1051.25,vocabulary
P03-1051.26, training corpus 
P03-1051.27,Arabic word segmentation system
P03-1051.28,exact match accuracy
P03-1051.29,test corpus 
P03-1051.30,word tokens
P03-1051.31,highly inflected languages 
P03-1051.32,manually segmented corpus
P03-1051.33,language
P03-1058.1,word sense disambiguation (WSD)
P03-1058.2,manually sense-tagged data 
P03-1058.3,supervised learning
P03-1058.4,sense-tagged training data
P03-1058.5,English-Chinese parallel corpora 
P03-1058.6,nouns
P03-1058.7,SENSEVAL-2 English lexical sample task 
P03-1058.8,method of acquiring sense-tagged data 
P03-1058.9,SENSEVAL-2 nouns
P03-1058.10,accuracy
P03-1058.11,manually sense-tagged data 
P03-1058.12,sense coverage
P03-1058.13,domain dependence
P03-1058.14,WSD programs 
P03-1068.1,semantically annotated corpus 
P03-1068.2,acquisition of word-semantic information 
P03-1068.3,domain-independent lexica
P03-1068.4,annotation
P03-1068.5,semantic roles
P03-1068.6,frame semantics paradigm
P03-1068.7,annotated data 
P03-1068.8, vagueness 
P03-1068.9,ambiguity
P03-1068.10,semantic annotation 
P03-1070.1,verbal and nonverbal means
P03-1070.2,grounding 
P03-1070.3,embodied conversational agents
P03-1070.4,signals
P03-1070.5,common ground 
P03-1070.6,human-computer interaction
P03-1070.7,eye gaze 
P03-1070.8,head nods
P03-1070.9,attentional focus 
P03-1070.10,direction-giving task
P03-1070.11,nonverbal behaviors 
P03-1070.12,dialogue move
P03-1070.13,negative feedback 
P03-1070.14,ECA
P03-1070.15,verbal and nonverbal grounding acts 
P03-1070.16,dialogue state
P03-2036.1,CFG filtering techniques
P03-2036.2,LTAG 
P03-2036.3,HPSG
P03-2036.4,HPSG 
P03-2036.5,CFG filter
P03-2036.6,LTAG 
C04-1106.1,analogies between words
C04-1106.2,computational linguists 
C04-1106.3,analogies between sentences
C04-1106.4, multilingual corpus 
C04-1106.5,analogies
C04-1106.6,sentences 
C04-1106.7,analogy 
C04-1106.8,form
C04-1106.9,meaning 
C04-1106.10,translation
C04-1106.11,meaning 
C04-1106.12,meanings
N04-1024.1,CriterionSM Online Essay Evaluation Service
N04-1024.2,sentences
N04-1024.3,writing
N04-1024.4,essay-based discourse elements 
N04-1024.5,thesis statements
N04-1024.6,Criterion 
N04-1024.7,coherence
N04-1024.8,essays 
N04-1024.9,features
N04-1024.10, sentences 
N04-1024.11,semantic similarity measures
N04-1024.12, discourse structure 
N04-1024.13,support vector machine
N04-1024.14, features 
N04-1024.15,breakdowns in coherence
N04-1024.16,essay question 
N04-1024.17,discourse elements
N04-1024.18,Intra-sentential quality 
N04-1024.19,rule-based heuristics
N04-1024.20,baseline
H05-1005.1,information redundancy
H05-1005.2,multilingual input 
H05-1005.3,machine translation
H05-1005.4,multilingual summaries
H05-1005.5,multi-document summarization 
H05-1005.6,documents
H05-1005.7, Arabic 
H05-1005.8,summary
H05-1005.9,English 
H05-1005.10,summary
H05-1005.11,lexical-syntactic forms
H05-1005.12,documents 
H05-1005.13,machine translation systems
H05-1005.14,redundancy
H05-1005.15,information 
H05-1005.16,English
H05-1005.17,machine translations 
H05-1005.18,Arabic documents
H05-1005.19,redundancy
H05-1005.20,noun phrases 
H05-1012.1,maximum entropy word alignment algorithm
H05-1012.2,Arabic-English 
H05-1012.3,supervised training data
H05-1012.4,training material
H05-1012.5,machine translation 
H05-1012.6,supervised and unsupervised methods
H05-1012.7,performance
H05-1012.8,probabilistic model 
H05-1012.9,alignment
H05-1012.10,link decisions 
H05-1012.11,word alignment techniques 
H05-1012.12,machine translation tests 
H05-1012.13,human annotation performance 
H05-1095.1,phrase-based statistical machine translation method 
H05-1095.2,non-contiguous phrases
H05-1095.3, phrases 
H05-1095.4,phrases
H05-1095.5,word-aligned corpora 
H05-1095.6,statistical translation model
H05-1095.7,phrases
H05-1095.8,training method 
H05-1095.9,translation accuracy
H05-1095.10,NIST evaluation metric
H05-1095.11,Translations 
H05-1095.12,beam-search decoder
H05-1095.13,training data 
H05-1117.1,automatic evaluation
H05-1117.2,machine translation 
H05-1117.3,document summarization
H05-1117.4,POURPRE
H05-1117.5, automatically evaluating answers to definition questions 
H05-1117.6,scoring system output
H05-1117.7,TREC 2003 and TREC 2004 QA tracks 
H05-1117.8,rankings
H05-1117.9,official rankings
H05-1117.10,POURPRE
H05-2007.1,patterns
H05-2007.2,translation data 
H05-2007.3,part-of-speech tag sequences
H05-2007.4,diagnostic tool
H05-2007.5,developers 
H05-2007.6,machine translation systems
H05-2007.7,developers
H05-2007.8, patterns 
H05-2007.9,machine translation output
I05-2021.1,empirical test
I05-2021.2,Chinese-to-English SMT model 
I05-2021.3,word sense disambiguation performance
I05-2021.4,WSD evaluation methodology
I05-2021.5,datasets 
I05-2021.6,Senseval-3 Chinese lexical sample task
I05-2021.7,word sense disambiguation (WSD) models 
I05-2021.8,Senseval
I05-2021.9,BLEU scores
I05-2021.10,statistical machine translation (SMT) 
I05-2021.11,SMT models
I05-2021.12,translation 
I05-2021.13,words
I05-2021.14,source language sentences 
I05-2021.15,WSD
I05-2021.16,accuracy
I05-2021.17,SMT models
I05-2021.18,WSD models
I05-2021.19,WSD
I05-2021.20,accuracy
I05-2021.21,SMT models
I05-2021.22,WSD models
I05-2021.23,SMT models 
I05-2021.24,WSD models
I05-2021.25,SMT
I05-2021.26,WSD models 
I05-2048.1,Statistical machine translation (SMT)
I05-2048.2,natural language processing 
I05-2048.3,SMT
I05-2048.4,rule-based translation systems 
I05-2048.5,translation systems 
I05-2048.6,language pairs
I05-2048.7,domains 
I05-2048.8,statistical machine translation 
I05-2048.9,SMT system
I05-2048.10,baseline results 
I05-2048.11,SMT
I05-2048.12,STTK
I05-2048.13,statistical machine translation tool kit 
I05-2048.14,translation system
I05-2048.15,STTK 
I05-2048.16,CMU's SMT system
I05-2048.17,rule-based and example based machine translation modules 
I05-2048.18,multi engine machine translation system
I05-2048.19,source code 
I05-2048.20,tool kit
I05-4010.1,English-Chinese bitexts 
I05-4010.2,Web
I05-4010.3,subparagraph 
I05-4010.4,numbering system
I05-4010.5,legal text hierarchy 
I05-4010.6,bilingual corpus 
I05-4010.7,English words
I05-4010.8,Chinese characters 
I05-4010.9,text collection
I05-4010.10,empirical MT research 
I05-4010.11,English-Chinese bitexts 
I05-4010.12,Web
I05-5003.1,machine translation (MT) evaluation
I05-5003.2,sentence-level semantic equivalence classification
I05-5003.3,MT evaluation methods (BLEU, NIST, WER and PER) 
I05-5003.4,classifiers
I05-5003.5, semantic equivalence 
I05-5003.6,entailment
I05-5003.7,classification method 
I05-5003.8,PER
I05-5003.9,part of speech information 
I05-5003.10,words
I05-5003.11,word matches and non-matches 
I05-5003.12,sentence
I05-5003.13,MT evaluation techniques 
I05-5003.14,features
I05-5003.15,paraphrase classification 
I05-5003.16,entailment
I05-5003.17,technique 
I05-5003.18,paraphrase classification accuracy 
I05-5003.19,models
I05-5008.1,paraphrase
I05-5008.2,seed sentences 
I05-5008.3,reference sets
I05-5008.4, machine translation evaluation measures 
I05-5008.5,BLEU
I05-5008.6,NIST
I05-5008.7,paraphrases
I05-5008.8,grammaticality 
I05-5008.9,sentences
I05-5008.10,equivalence in meaning 
I05-5008.11,paraphrases
I05-5008.12,meaning equivalence 
I05-5008.13,entailment
I05-5008.14,lexical and syntactical variation 
I05-5008.15,paraphrases
I05-5008.16,hand-produced sets 
I05-5008.17,paraphrase
I05-5008.18,reference sets
I05-5008.19,MT evaluation 
I05-6011.1,annotating scheme
I05-6011.2,honorifics 
I05-6011.3,Honorifics
I05-6011.4,Japanese 
I05-6011.5, referents 
I05-6011.6,referential information
I05-6011.7,zero pronouns 
I05-6011.8,machine translation outputs
I05-6011.9,honorifics 
I05-6011.10,predicate
I05-6011.11,honorifics 
I05-6011.12,ranks
I05-6011.13,referents
I05-6011.14,predicate
I05-6011.15,ranks
I05-6011.16,referents
I05-6011.17,predicates 
J05-1003.1, probabilistic parser 
J05-1003.2,parser
J05-1003.3,candidate parses 
J05-1003.4,sentence
J05-1003.5, probabilities 
J05-1003.6,ranking
J05-1003.7, parses 
J05-1003.8,model
J05-1003.9,ranking 
J05-1003.10,features
J05-1003.11,tree 
J05-1003.12,tree
J05-1003.13,features
J05-1003.14,features
J05-1003.15,derivation 
J05-1003.16,generative model
J05-1003.17,features 
J05-1003.18,reranking task
J05-1003.19,boosting approach
J05-1003.20,ranking problems 
J05-1003.21,boosting method
J05-1003.22,parsing 
J05-1003.23,Wall Street Journal treebank
J05-1003.24,log-likelihood 
J05-1003.25,baseline model
J05-1003.26,features
J05-1003.27,parse trees 
J05-1003.28,model
J05-1003.29,model 
J05-1003.30,F-measure
J05-1003.31,F-measure 
J05-1003.32,baseline model's score
J05-1003.33,boosting approach
J05-1003.34,sparsity of the feature space
J05-1003.35, parsing data 
J05-1003.36,implementation 
J05-1003.37,boosting approach
J05-1003.38, feature selection methods 
J05-1003.39,log-linear (maximum-entropy) models
J05-1003.40,natural language parsing (NLP)
J05-1003.41,NLP problems
